ID;AnoNascimento;Escolaridade;EstadoCivil;Renda;GastoComVinhos;GastoComCarnes;ComprasWeb;ComprasLoja
5524;1957;Graduation;Single;58138.0;635;172;10;7
2174;1954;Graduation;Single;46344.0;11;2;1;5
4141;1965;Graduation;Together;71613.0;426;111;2;4
6182;1984;Graduation;Together;26646.0;11;10;0;6
5324;1981;PhD;Married;58293.0;173;46;3;5
7446;1967;Master;Together;62513.0;520;0;4;6
965;1971;Graduation;Divorced;55635.0;235;50;3;6
6177;1985;PhD;Married;33454.0;76;3;0;8
4855;1974;PhD;Together;30351.0;14;3;0;9
5899;1950;PhD;Together;5648.0;28;1;0;20
1994;1983;Graduation;Married;0.0;5;0;0;7
387;1976;Basic;Married;7500.0;6;11;0;8
2125;1959;Graduation;Divorced;63033.0;194;225;4;2
8180;1952;Master;Divorced;59354.0;233;3;1;6
2569;1987;Graduation;Married;17323.0;3;6;0;8
2114;1946;PhD;Single;82800.0;1006;59;6;3
9736;1980;Graduation;Married;41850.0;53;2;0;8
4939;1946;Graduation;Together;37760.0;84;150;1;7
6565;1949;Master;Married;76995.0;1012;0;4;5
2278;1985;2n Cycle;Single;33812.0;4;30;1;6
9360;1982;Graduation;Married;37040.0;86;69;2;8
5376;1979;Graduation;Married;2447.0;1;1;28;1
1993;1949;PhD;Married;58607.0;867;0;3;8
4047;1954;PhD;Married;65324.0;384;21;2;4
1409;1951;Graduation;Together;40689.0;270;39;1;8
7892;1969;Graduation;Single;18589.0;6;15;1;7
2404;1976;Graduation;Married;53359.0;173;3;1;7
5255;1986;Graduation;Single;0.0;5;3;0;1
9422;1989;Graduation;Married;38360.0;36;20;1;3
1966;1965;PhD;Married;84618.0;684;21;9;2
6864;1989;Master;Divorced;10979.0;8;2;0;5
3033;1963;Master;Together;38620.0;112;34;5;3
5710;1970;Graduation;Together;40548.0;110;2;1;5
7373;1952;PhD;Divorced;46610.0;96;33;1;6
8755;1946;Master;Married;68657.0;482;119;5;7
10738;1951;Master;Single;49389.0;40;2;0;7
4339;1970;PhD;Married;67353.0;702;0;6;2
10755;1976;2n Cycle;Married;23718.0;6;15;1;7
